Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
State_id  ,YEAR  ,Month  ,CPRECIP (in),PRECIP (in) 
'417945',1849,1,.,. 
'417945',1849,2,.,. 
'417945',1849,3,.,. 
'417945',1849,4,.,. 
'417945',1849,5,.,. 
'417945',1849,6,.,. 
'417945',1849,7,.,. 
'417945',1849,8,.,. 
'417945',1849,9,.,6.12 
'417945',1849,10,.,0.3 
'417945',1849,11,.,5.53 
'417945',1849,12,.,1.22 
'417945',1850,1,0.64,0.64 
'417945',1850,2,2.71,2.07 
'417945',1850,3,4.08,1.37 
'417945',1850,4,7.42,3.34 
'417945',1850,5,10.64,3.22 
'417945',1850,6,20.27,9.63 
'417945',1850,7,23.37,3.1 
'417945',1850,8,23.54,0.17 
'417945',1850,9,23.93,0.39 
'417945',1850,10,24.74,0.81 
'417945',1850,11,27.08,2.34 
'417945',1850,12,29.98,2.9 
'417945',1851,1,0.75,0.75 
'417945',1851,2,7.61,6.86 
'417945',1851,3,9.06,1.45 
'417945',1851,4,13.43,4.37 
'417945',1851,5,16.23,2.8 
'417945',1851,6,19.97,3.74 
'417945',1851,7,23.04,3.07 
'417945',1851,8,23.64,0.6 
'417945',1851,9,24.84,1.2 
'417945',1851,10,25.24,0.4 
'417945',1851,11,28.54,3.3 
'417945',1851,12,30.84,2.3 
'417945',1852,1,.,1 
'417945',1852,2,.,4.3 
'417945',1852,3,.,6 
'417945',1852,4,.,0.7 
'417945',1852,5,.,2.66 
'417945',1852,6,.,5.09 
'417945',1852,7,.,3.53 
'417945',1852,8,.,1.75 
'417945',1852,9,.,3.49 
'417945',1852,10,.,2.7 
'417945',1852,11,.,. 
'417945',1852,12,.,. 
'417945',1857,1,.,. 
'417945',1857,2,.,. 
'417945',1857,3,.,. 
'417945',1857,4,.,. 
'417945',1857,5,.,. 
'417945',1857,6,.,. 
'417945',1857,7,.,. 
'417945',1857,8,.,2.6 
'417945',1857,9,.,3.48 
'417945',1857,10,.,2.15 
'417945',1857,11,.,8.88 
'417945',1857,12,.,11.09 
'417945',1858,1,4.53,4.53 
'417945',1858,2,15.13,10.6 
'417945',1858,3,19.63,4.5 
'417945',1858,4,20.13,0.5 
'417945',1858,5,23.25,3.12 
'417945',1858,6,23.25,0 
'417945',1858,7,23.39,0.14 
'417945',1858,8,23.9,0.51 
'417945',1858,9,24.6,0.7 
'417945',1858,10,26.6,2 
'417945',1858,11,27.47,0.87 
'417945',1858,12,28.56,1.09 
'417945',1859,1,1.3,1.3 
'417945',1859,2,1.6,0.3 
'417945',1859,3,1.7,0.1 
'417945',1859,4,3.05,1.35 
'417945',1859,5,5.5,2.45 
'417945',1859,6,5.9,0.4 
'417945',1859,7,6.35,0.45 
'417945',1859,8,11.35,5 
'417945',1859,9,28.95,17.6 
'417945',1859,10,31.75,2.8 
'417945',1859,11,31.75,0 
'417945',1859,12,31.98,0.23 
'417945',1860,1,0.89,0.89 
'417945',1860,2,1.82,0.93 
'417945',1860,3,2.2,0.38 
'417945',1860,4,5.3,3.1 
'417945',1860,5,5.3,0 
'417945',1860,6,6.69,1.39 
'417945',1860,7,6.73,0.04 
'417945',1860,8,18.11,11.38 
'417945',1860,9,20.09,1.98 
'417945',1860,10,20.16,0.07 
'417945',1860,11,22.03,1.87 
'417945',1860,12,22.31,0.28 
'417945',1870,1,0.92,0.92 
'417945',1870,2,1.32,0.4 
'417945',1870,3,5.66,4.34 
'417945',1870,4,7.86,2.2 
'417945',1870,5,8.35,0.49 
'417945',1870,6,11.45,3.1 
'417945',1870,7,15.17,3.72 
'417945',1870,8,21.65,6.48 
'417945',1870,9,23.6,1.95 
'417945',1870,10,26.4,2.8 
'417945',1870,11,29.98,3.58 
'417945',1870,12,30.58,0.6 
'417945',1871,1,1.38,1.38 
'417945',1871,2,1.98,0.6 
'417945',1871,3,3.08,1.1 
'417945',1871,4,3.84,0.76 
'417945',1871,5,7.28,3.44 
'417945',1871,6,7.46,0.18 
'417945',1871,7,7.46,0 
'417945',1871,8,8.41,0.95 
'417945',1871,9,14.22,5.81 
'417945',1871,10,20.87,6.65 
'417945',1871,11,22.79,1.92 
'417945',1871,12,22.79,0 
'417945',1872,1,0.4,0.4 
'417945',1872,2,1.96,1.56 
'417945',1872,3,3.1,1.14 
'417945',1872,4,3.8,0.7 
'417945',1872,5,8.38,4.58 
'417945',1872,6,16.68,8.3 
'417945',1872,7,18.52,1.84 
'417945',1872,8,20.14,1.62 
'417945',1872,9,20.19,0.05 
'417945',1872,10,21.88,1.69 
'417945',1872,11,24.07,2.19 
'417945',1872,12,26.17,2.1 
'417945',1873,1,.,1.14 
'417945',1873,2,.,0.47 
'417945',1873,3,.,1.95 
'417945',1873,4,.,0.52 
'417945',1873,5,.,3.71 
'417945',1873,6,.,6.99 
'417945',1873,7,.,2.1 
'417945',1873,8,.,. 
'417945',1873,9,.,. 
'417945',1873,10,.,. 
'417945',1873,11,.,. 
'417945',1873,12,.,. 
'417945',1877,1,0.37,0.37 
'417945',1877,2,2.01,1.64 
'417945',1877,3,3.02,1.01 
'417945',1877,4,5.49,2.47 
'417945',1877,5,6.05,0.56 
'417945',1877,6,9.64,3.59 
'417945',1877,7,12.51,2.87 
'417945',1877,8,13.07,0.56 
'417945',1877,9,15.74,2.67 
